mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.009196901321411132,0.00022418734164750476,0.0009328365325927734,8.435471705928224e-05,10,sqrt,2,10,10,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10}",,,,,,,,1,,,,,,,
0.017734861373901366,8.155610650054928e-05,0.0012715816497802734,4.391527846655344e-05,10,sqrt,2,10,20,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 20}",,,,,,,,1,,,,,,,
0.043273544311523436,0.002165919156051342,0.00273280143737793,0.00015223091807930098,10,sqrt,2,10,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",,,,,,,,1,,,,,,,
0.08328371047973633,0.002702842307514646,0.004918146133422852,0.00024444843795630157,10,sqrt,2,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,,,1,,,,,,,
0.009203386306762696,0.0002528091232292014,0.001035928726196289,8.893108878756597e-05,10,sqrt,4,2,10,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10}",,,,,,,,1,,,,,,,
0.01688699722290039,0.00041381016541346875,0.0014505863189697265,0.000156489019818778,10,sqrt,4,2,20,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 20}",,,,,,,,1,,,,,,,
0.04040379524230957,0.000548307901211962,0.0026560306549072267,6.8070637958444e-05,10,sqrt,4,2,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",,,,,,,,1,,,,,,,
0.0832097053527832,0.005107170468665069,0.005066347122192383,0.00021500255927336213,10,sqrt,4,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",,,,,,,,1,,,,,,,
0.008846139907836914,0.00018960988158194984,0.0008836269378662109,3.229331908255021e-05,10,sqrt,4,5,10,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10}",,,,,,,,1,,,,,,,
0.01713080406188965,0.00028674250339918734,0.0013614654541015624,0.00011244327753726389,10,sqrt,4,5,20,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 20}",,,,,,,,1,,,,,,,
0.052149724960327146,0.021481517983011768,0.002657032012939453,0.00018671055640894852,10,sqrt,4,5,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",,,,,,,,1,,,,,,,
0.0808283805847168,0.0018322070997926303,0.004824256896972657,0.00021137571099855485,10,sqrt,4,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,,,1,,,,,,,
